TEST,CallSumOI,PutSumOI,Time
09:40:22,0,0,09:40:22
09:52:03,226220,17520,09:52:03
09:54:04,211700,18920,09:54:04
09:56:04,211700,18920,09:56:04
09:58:03,210100,19940,09:58:03
10:00:05,223440,19240,10:00:05
10:02:03,223440,19260,10:02:03
10:04:04,230700,19600,10:04:04
10:06:05,239480,20000,10:06:05
10:38:03,270440,21100,10:38:03
10:40:04,261760,19600,10:40:04
10:42:03,261760,19600,10:42:03
10:44:03,256940,19720,10:44:03
10:46:04,259140,19840,10:46:04
10:48:04,259140,19840,10:48:04
10:50:03,258440,19980,10:50:03
10:52:03,273280,20100,10:52:03
10:54:03,273280,20280,10:54:03
10:56:02,285520,20920,10:56:02
10:58:03,290360,21860,10:58:03
11:00:03,296160,23060,11:00:03
11:02:03,296160,23060,11:02:03
11:04:02,297780,24200,11:04:02
11:06:03,297780,24200,11:06:03
